Address,Latitudes,Longitudes
218 ANG MO KIO AVE 1,1.365119086,103.84174250000001
601 ANG MO KIO AVE 5,1.381041355,103.8351317
108 ANG MO KIO AVE 4,1.370966352,103.83820190000002
105 ANG MO KIO AVE 4,1.3723132830000002,103.8376011
438 ANG MO KIO AVE 10,1.366970817,103.8539066
543 ANG MO KIO AVE 10,1.3743011440000001,103.85623559999999
442 ANG MO KIO AVE 10,1.365653269,103.8552322
573 ANG MO KIO AVE 3,1.37056144,103.85482309999999
542 ANG MO KIO AVE 10,1.3747384130000002,103.85587679999999
544 ANG MO KIO AVE 10,1.373959619,103.8564714
335 ANG MO KIO AVE 1,1.363209968,103.8506906
475 ANG MO KIO AVE 10,1.3626629780000001,103.8565159
572 ANG MO KIO AVE 3,1.3702583609999999,103.85596899999999
208 ANG MO KIO AVE 1,1.3654449519999998,103.842715
231 ANG MO KIO AVE 3,1.368561036,103.8375252
435 ANG MO KIO AVE 10,1.367703678,103.8542143
128 ANG MO KIO AVE 3,1.3708320280000001,103.843547
467 ANG MO KIO AVE 10,1.3651568859999998,103.8574502
634 ANG MO KIO AVE 6,1.381582081,103.8432735
504 ANG MO KIO AVE 8,1.374825895,103.8489561
414 ANG MO KIO AVE 10,1.363904664,103.85391379999999
434 ANG MO KIO AVE 10,1.367891507,103.85345500000001
346 ANG MO KIO AVE 3,1.3670958690000001,103.8496623
638 ANG MO KIO AVE 6,1.380457054,103.84357059999999
354 ANG MO KIO ST 32,1.363877525,103.8520286
348 ANG MO KIO AVE 3,1.36619757,103.8478999
351 ANG MO KIO ST 32,1.3643236669999999,103.8503076
700A ANG MO KIO AVE 6,1.369971289,103.8460765
596D ANG MO KIO ST 52,1.3718713530000002,103.8510304
700B ANG MO KIO AVE 6,1.3694104980000001,103.8460598
596C ANG MO KIO ST 52,1.371935719,103.8501433
111 BEDOK RESERVOIR RD,1.329807637,103.9100936
36 BEDOK STH AVE 2,1.321632997,103.9384413
151 BEDOK RESERVOIR RD,1.335576195,103.9115458
56 CHAI CHEE DR,1.326350406,103.9200642
80 BEDOK NTH RD,1.32848132,103.9406116
528 BEDOK NTH ST 3,1.334902876,103.9278382
602 BEDOK RESERVOIR RD,1.329348987,103.91158320000001
140 BEDOK RESERVOIR RD,1.3348899140000001,103.9133862
35 CHAI CHEE AVE,1.324539821,103.92671170000001
108 BEDOK RESERVOIR RD,1.330231922,103.909387
5 BEDOK STH AVE 2,1.322191579,103.9343993
135 BEDOK RESERVOIR RD,1.333141064,103.91252349999999
80 BEDOK NTH RD,1.32848132,103.9406116
132 BEDOK RESERVOIR RD,1.332795452,103.9118132
136 BEDOK RESERVOIR RD,1.333569161,103.9135458
613 BEDOK RESERVOIR RD,1.333110969,103.9175847
532 BEDOK NTH ST 3,1.334191739,103.9253866
61 CHAI CHEE RD,1.3251087190000002,103.9207382
619 BEDOK RESERVOIR RD,1.333450129,103.9177088
43 CHAI CHEE ST,1.328346685,103.92565479999999
508 BEDOK NTH AVE 3,1.333400122,103.9325194
43 BEDOK STH RD,1.321541281,103.9415933
170 BEDOK STH RD,1.320720104,103.9461111
80 BEDOK NTH RD,1.32848132,103.9406116
704 BEDOK RESERVOIR RD,1.336354906,103.9202036
171 BEDOK STH RD,1.3208967679999999,103.94542870000001
35 BEDOK STH AVE 2,1.322332207,103.93976620000001
35 BEDOK STH AVE 2,1.322332207,103.93976620000001
82 BEDOK NTH RD,1.329536805,103.9404066
428 BEDOK NTH RD,1.329539942,103.9276501
140 BEDOK RESERVOIR RD,1.3348899140000001,103.9133862
120 BEDOK RESERVOIR RD,1.330892472,103.9099209
545 BEDOK NTH ST 3,1.330051424,103.924118
532 BEDOK NTH ST 3,1.334191739,103.9253866
404 BEDOK NTH AVE 3,1.3293749240000001,103.9339269
763 BEDOK RESERVOIR VIEW,1.336072095,103.9348306
647 JLN TENAGA,1.331709619,103.9057021
766 BEDOK RESERVOIR VIEW,1.335998992,103.9362745
772 BEDOK RESERVOIR VIEW,1.336462568,103.9378955
183 BEDOK NTH RD,1.32643686,103.9418509
111 LENGKONG TIGA,1.324058778,103.9113038
116 LENGKONG TIGA,1.322785331,103.911863
150A BISHAN ST 11,1.3445598330000001,103.85573740000001
111 BISHAN ST 12,1.3470675269999999,103.8480637
153 BISHAN ST 13,1.346085959,103.85507829999999
455 SIN MING AVE,1.3587284259999999,103.83064279999999
445 SIN MING AVE,1.358711425,103.83172009999998
239 BISHAN ST 22,1.3604289459999999,103.84477729999999
233 BISHAN ST 22,1.358576005,103.8455927
171 BISHAN ST 13,1.346787771,103.85370999999999
455 SIN MING AVE,1.3587284259999999,103.83064279999999
285 BISHAN ST 22,1.3588408619999999,103.84385400000001
140 BISHAN ST 12,1.3447996709999999,103.8531065
267 BISHAN ST 24,1.35763464,103.84281329999999
224 BISHAN ST 23,1.358945492,103.84769870000001
223 BISHAN ST 23,1.358442054,103.8482639
267 BISHAN ST 24,1.35763464,103.84281329999999
236 BISHAN ST 22,1.359004909,103.8470066
157 BISHAN ST 13,1.3460575540000002,103.85668000000001
290 BISHAN ST 24,1.3556140230000002,103.844598
237 BISHAN ST 22,1.359174924,103.8466599
304 SHUNFU RD,1.350121705,103.83794240000002
254 BISHAN ST 22,1.361923241,103.84299920000001
313 SHUNFU RD,1.351519255,103.83722879999999
113 BISHAN ST 12,1.3472318509999999,103.848809
289 BISHAN ST 24,1.356661149,103.8449306
291 BISHAN ST 24,1.35591015,103.8451584
513 BT BATOK ST 52,1.354054852,103.7523202
348 BT BATOK ST 34,1.362135303,103.75061740000001
310 BT BATOK ST 32,1.35964072,103.7488291
331 BT BATOK ST 33,1.3636118659999998,103.7476453
408 BT BATOK WEST AVE 4,1.3648197780000002,103.7449898
370 BT BATOK ST 31,1.359957417,103.7493073
370 BT BATOK ST 31,1.359957417,103.7493073
329 BT BATOK ST 33,1.363126337,103.74741850000001
337 BT BATOK ST 34,1.3634829640000001,103.7493934
369 BT BATOK ST 31,1.36002946,103.7510723
182 BT BATOK WEST AVE 8,1.3455640219999998,103.7438215
308 BT BATOK ST 31,1.3585502919999999,103.7481047
234 BT BATOK EAST AVE 5,1.349141898,103.7554263
368 BT BATOK ST 31,1.3603810490000001,103.7509239
242 BT BATOK EAST AVE 5,1.350959508,103.7562334
242 BT BATOK EAST AVE 5,1.350959508,103.7562334
165 BT BATOK WEST AVE 8,1.3477219880000002,103.7412875
348 BT BATOK ST 34,1.362135303,103.75061740000001
288D BT BATOK ST 25,1.345803048,103.75926009999999
260 BT BATOK EAST AVE 4,1.3509125919999998,103.75902109999998
316 BT BATOK ST 32,1.360576605,103.74683399999999
350 BT BATOK ST 34,1.361438585,103.74915250000001
341 BT BATOK ST 34,1.36280452,103.7491572
244 BT BATOK EAST AVE 5,1.3491826980000001,103.7572392
363 BT BATOK ST 31,1.361014444,103.7494473
227 BT BATOK CTRL,1.348383998,103.75352029999999
233 BT BATOK EAST AVE 5,1.34904853,103.7558286
343 BT BATOK ST 34,1.362387768,103.7491675
539 BT BATOK ST 52,1.354765183,103.75088509999999
169 BT BATOK WEST AVE 8,1.346607336,103.7409093
247 BT BATOK EAST AVE 5,1.349969437,103.7564978
289F BT BATOK ST 25,1.34463617,103.7590468
288D BT BATOK ST 25,1.345803048,103.75926009999999
193 BT BATOK WEST AVE 6,1.3460089430000002,103.74442359999999
290F BT BATOK ST 24,1.343516441,103.7576965
395 BT BATOK WEST AVE 5,1.364489743,103.7519871
395 BT BATOK WEST AVE 5,1.366316899,103.75228759999999
392 BT BATOK WEST AVE 5,1.365866084,103.7533233
386 BT BATOK WEST AVE 5,1.3639394219999998,103.75255600000001
201 BT BATOK ST 21,1.345862539,103.7479058
291A BT BATOK ST 24,1.3436676669999998,103.7560517
620 BT BATOK CTRL,1.349705366,103.7484032
101 HENDERSON CRES,1.2907179979999999,103.8216252
23 TELOK BLANGAH CRES,1.276080724,103.8208395
52 LENGKOK BAHRU,1.2884871340000001,103.8133515
40 TELOK BLANGAH RISE,1.272099266,103.8232451
24 TELOK BLANGAH CRES,1.275409491,103.8206605
102 HENDERSON CRES,1.290366187,103.8215771
75 TELOK BLANGAH DR,1.274896709,103.8086953
56 TELOK BLANGAH HTS,1.27425274,103.8124291
75 TELOK BLANGAH DR,1.274896709,103.8086953
13 CANTONMENT CL,1.27469944,103.8404854
51 TELOK BLANGAH DR,1.2734908679999999,103.81089300000001
77 TELOK BLANGAH DR,1.273941532,103.80881740000001
51 TELOK BLANGAH DR,1.2734908679999999,103.81089300000001
14A TELOK BLANGAH CRES,1.277760301,103.82073009999999
55 TELOK BLANGAH DR,1.27396036,103.8121495
109B DEPOT RD,1.2809993720000001,103.80922530000001
3 DELTA AVE,1.291698335,103.82733449999999
50 TELOK BLANGAH DR,1.27309041,103.8101436
