Location,Latitude,Longitudes
Admiralty MRT,1.4405333880000002,103.8013645
Aljunied MRT,1.316238485,103.8824967
Ang Mo Kio MRT,1.369887373,103.8498257
Bartley MRT,1.342259584,103.88038309999999
Bayfront MRT,1.282834354,103.8594938
Beauty World MRT,1.3416976809999999,103.77597850000001
Bedok MRT,1.32039876,103.95724200000001
Bedok North MRT,1.334174701,103.9190554
Bedok Reservoir MRT,1.336357975,103.9328537
Bencoolen MRT,1.298918434,103.8503538
Bendemeer MRT,1.3138743290000001,103.86306280000001
Bishan MRT,1.350584912,103.8482093
Boon Keng MRT,1.317911495,103.8606963
Boon Lay MRT,1.338284311,103.70540550000001
Botanic Gardens MRT,1.322534633,103.8149769
Braddell MRT,1.341078755,103.8464118
Bras Basah MRT,1.297018983,103.85025470000001
Buangkok MRT,1.382649723,103.8934632
Bugis MRT,1.301204089,103.8559241
Bukit Batok MRT,1.349512469,103.7497692
Bukit Gombak MRT,1.35906498,103.7517266
Bukit Panjang MRT,1.379015879,103.761921
Buona Vista MRT,1.30734059,103.79044880000001
Caldecott MRT,1.337831334,103.83981740000002
Canberra MRT,1.443076641,103.82970259999999
Cashew MRT,1.369844386,103.7642079
Changi Airport MRT,1.357220256,103.9873046
Chinatown MRT,1.28466811,103.84282579999999
Chinese Garden MRT,1.342440843,103.7322246
Choa Chu Kang MRT,1.3849696919999999,103.74459190000002
City Hall MRT,1.293108533,103.8519511
Clarke Quay MRT,1.286898788,103.8460645
Clementi MRT,1.314065689,103.7655414
Commonwealth MRT,1.302083048,103.7987682
Dakota MRT,1.308825619,103.889298
Dhoby Ghaut MRT,1.298810409,103.84634759999999
Dover MRT,1.311704743,103.7784466
Downtown MRT,1.279843061,103.85242029999999
Esplanade MRT,1.292910178,103.85585309999999
Eunos MRT,1.319517275,103.9028941
Expo MRT,1.335264775,103.9620702
Farrer Park MRT,1.312329444,103.8547704
Farrer Road MRT,1.317495323,103.8079666
Fort Canning MRT,1.292412616,103.8441575
Geylang Bahru MRT,1.321301102,103.8716226
Gul Circle MRT,1.318886347,103.659476
HarbourFront MRT,1.266010261,103.8204746
Haw Par Villa MRT,1.283066228,103.7820002
Hillview MRT,1.3620882069999998,103.767088
Holland Village MRT,1.31071339,103.7957443
Hougang MRT,1.372162516,103.8919622
Jalan Besar MRT,1.304890116,103.8552925
Joo Koon MRT,1.3279575829999999,103.6786414
Jurong East MRT,1.33253016,103.7426431
Kaki Bukit MRT,1.335322179,103.9094061
Kallang MRT,1.311540483,103.87173059999999
Kembangan MRT,1.320929673,103.91294
Kent Ridge MRT,1.294317848,103.7844655
Khatib MRT,1.41789179,103.8331718
King Albert Park MRT,1.33554323,103.7830189
Kovan MRT,1.35970263,103.8843026
Kranji MRT,1.4248605980000002,103.7619343
Labrador Park MRT,1.272112372,103.80236059999999
Lakeside MRT,1.343987415,103.72043769999999
Lavender MRT,1.3076185390000001,103.8626503
Little India MRT,1.307426974,103.8503196
Lorong Chuan MRT,1.351734789,103.8629194
MacPherson MRT,1.3258585170000001,103.8906628
Marina Bay MRT,1.274741732,103.85530920000001
Marina South Pier MRT,1.271027036,103.8624475
Marsiling MRT,1.4324626180000002,103.7738212
Marymount MRT,1.3489799080000002,103.839088
Mattar MRT,1.326482826,103.8837405
Mountbatten MRT,1.306045926,103.8832483
Newton MRT,1.312604011,103.8378872
Nicoll Highway MRT,1.299662598,103.8641644
Novena MRT,1.321103004,103.84440579999999
Orchard MRT,1.303167535,103.8321716
Outram Park MRT,1.278948674,103.8395495
Pasir Panjang MRT,1.276008977,103.7920338
Pasir Ris MRT,1.372841969,103.9493334
Paya Lebar MRT,1.318370313,103.8922082
Pioneer MRT,1.337342939,103.6971431
Potong Pasir MRT,1.3328133659999999,103.86896740000002
Promenade MRT,1.291707988,103.8606484
Punggol MRT,1.4043063690000002,103.90213759999999
Queenstown MRT,1.2943729529999999,103.8063571
Raffles Place MRT,1.285265563,103.85161670000001
Redhill MRT,1.289367485,103.8169976
Rochor MRT,1.3036354959999998,103.85265279999999
Sembawang MRT,1.448835628,103.8201103
Sengkang MRT,1.39182912,103.8954057
Serangoon MRT,1.349834625,103.87364079999999
Simei MRT,1.342655786,103.95382009999999
Sixth Avenue MRT,1.33153906,103.79682820000001
Somerset MRT,1.300449734,103.8387638
Stadium MRT,1.302511088,103.8744
Stevens MRT,1.320329203,103.8256843
Tai Seng MRT,1.335919836,103.8876317
Tampines East MRT,1.35646289,103.95454009999999
Tampines MRT,1.354598789,103.94271490000001
Tampines West MRT,1.345008255,103.9389568
Tan Kah Kee MRT,1.3253279690000002,103.8077983
Tanah Merah MRT,1.327064862,103.9457231
Tanjong Pagar MRT,1.276398746,103.8448205
Telok Ayer MRT,1.281891079,103.8485129
Telok Blangah MRT,1.270734786,103.80988459999999
Tiong Bahru MRT,1.285764585,103.8269968
Toa Payoh MRT,1.333007442,103.8473184
Tuas Crescent MRT,1.321153373,103.6493543
Tuas Link MRT,1.340438332,103.63666479999999
Tuas West Road MRT,1.3301567090000002,103.639813
Ubi MRT,1.329962128,103.8998699
Upper Changi MRT,1.341878173,103.96132850000001
Woodlands MRT,1.4348014830000002,103.7890906
Woodlands North MRT,1.4490567019999998,103.7851052
Woodlands South MRT,1.427636527,103.7933065
Woodleigh MRT,1.338591864,103.87050649999999
Yew Tee MRT,1.3975350180000001,103.7474051
Yio Chu Kang MRT,1.381650385,103.844821
Yishun MRT,1.4291073580000002,103.83512359999999
one-north MRT,1.299035627,103.7868968
